entity_name,entity_type,mentions,source_count,lng,lat,town,match_source,match_id
棋盘村,B6 古村落与聚落遗产类,6,1,112.904097,23.12378,狮山镇,poi_contain,B0LGZLWDSR
西湖,D1 山川水系空间,6,3,113.203132,23.040691,桂城街道,poi_contain,B0HA2BNPNE
将军庙,B2 宗教建筑类,5,3,113.143289,23.007354,桂城街道,poi_contain,B0IARZYSYY
祖祠,B1 古建筑类,5,4,113.129999,23.113255,里水镇,poi_contain,B0FFH4942R
端溪书院,D4 传承场所与活动场地,5,4,113.10216,23.18814,大沥镇,poi_contain,B0FFIZSDND
田心书院,B1 古建筑类,5,2,113.10216,23.18814,大沥镇,poi_contain,B0FFIZSDND
三水,D2 镇街圩市空间,5,4,113.186882,23.116799,里水镇,poi_contain,B0FFJNAOHK
南京,D2 镇街圩市空间,5,4,113.196609,23.145771,大沥镇,poi_contain,B0GUUA16BM
天后宫,B2 宗教建筑类,5,3,112.938167,22.981387,丹灶镇,poi_exact,B0H62CZH3V
私塾,B1 古建筑类,5,4,113.132076,23.291646,里水镇,poi_contain,B0FFLAS28H
大沥区,D2 镇街圩市空间,5,3,113.072143,23.130649,大沥镇,poi_contain,B0FFM3V93I
银河,D1 山川水系空间,5,4,112.889484,23.008573,丹灶镇,poi_contain,B02F5076XU
南海九江,D2 镇街圩市空间,5,5,113.01534,22.835259,九江镇,poi_contain,B0I6ZHKEGN
白沙村,B6 古村落与聚落遗产类,5,4,113.196861,23.13627,里水镇,poi_contain,B0FFLBYRXP
西岸,D2 镇街圩市空间,5,4,112.894457,22.865178,西樵镇,poi_contain,B0FFM59QCR
官山镇,D2 镇街圩市空间,5,3,113.003022,22.952411,西樵镇,poi_contain,
华夏,D2 镇街圩市空间,5,1,113.164102,23.076611,大沥镇,poi_contain,B0FFL04MPV
太平圩,D2 镇街圩市空间,5,1,112.905097,22.929496,,anchor_exact,ANC_0158
黎氏宗祠,B1 古建筑类,5,2,113.169065,23.049273,桂城街道,poi_exact,B0FFHROM95
南沙村,B6 古村落与聚落遗产类,5,5,112.927313,22.885486,西樵镇,poi_contain,B0FFJQX278
河岗,B6 古村落与聚落遗产类,5,1,112.897358,22.956036,西樵镇,poi_contain,B0FFI6RMEO
吉水,D2 镇街圩市空间,5,5,112.96847,22.942825,nan,anchor_contain,ANC_0046
枫林白塔,B1 古建筑类,5,3,112.958687,22.936283,西樵镇,poi_exact,B0FFHHJ5YR
紫姑井,B4 古遗址与生产遗存类,5,3,112.970866,22.919829,西樵镇,poi_contain,B0FFG1YV98
天镇峰公园,D1 山川水系空间,5,2,112.981311,22.945634,丹灶镇,poi_exact,
锦岩,B4 古遗址与生产遗存类,5,2,112.972411,22.921564,nan,anchor_contain,ANC_0010
无叶井,B4 古遗址与生产遗存类,5,5,112.987418,22.934116,西樵镇,poi_contain,
喷玉岩,D1 山川水系空间,5,2,112.978684,22.938273,西樵镇,poi_contain,B0FFFWJH96
西樵镇政府,D2 镇街圩市空间,5,3,112.99,22.94,西樵镇,anchor_contain,ANC_0136
浸佛塘,B4 古遗址与生产遗存类,5,4,112.968194,22.920522,西樵镇,poi_exact,B0FFG29XDS
麻奢,D2 镇街圩市空间,5,3,113.115287,23.214767,里水镇,poi_contain,B02F50ZFH7
九江圩,D2 镇街圩市空间,5,3,113.011151,22.833356,,anchor_exact,ANC_0163
江头村,B6 古村落与聚落遗产类,5,1,113.139519,23.062611,桂城街道,poi_contain,
炮楼,B1 古建筑类,5,1,113.163138,23.076836,大沥镇,poi_contain,B0GU9XUUR4
潘氏大宗祠,B1 古建筑类,5,1,112.915313,22.965419,西樵镇,poi_exact,B02F507C71
白沙,B6 古村落与聚落遗产类,5,3,113.012141,23.083237,狮山镇,poi_contain,B0IDZZ4DPV
飞流千尺,B5 石刻碑记类,5,2,112.971259,22.937579,西樵镇,poi_exact,
叠滘小学,B3 纪念性建筑与名人故居类,5,2,113.131147,23.056113,桂城街道,poi_contain,B0FFID63L8
叠滘,D2 镇街圩市空间,5,3,113.125916,23.065559,桂城街道,poi_contain,B0GRMH0UW7
铁村,B6 古村落与聚落遗产类,5,4,113.110371,23.102309,大沥镇,poi_contain,B0FFHRRPJH
钟边,B6 古村落与聚落遗产类,5,5,113.107355,23.095389,大沥镇,poi_contain,B0FFI94UQI
三圣宫,B2 宗教建筑类,4,4,113.013424,23.072052,狮山镇,poi_exact,B0FFHS614K
文昌庙,B2 宗教建筑类,4,3,112.907281,22.953334,西樵镇,poi_exact,B0KUBLPGAD
抱龙桥,B1 古建筑类,4,4,112.896947,23.001197,丹灶镇,poi_contain,B0FFGGUVNZ
黄氏大宗祠,B1 古建筑类,4,4,113.021404,23.062956,狮山镇,poi_exact,B0FFG3QKJB
江太史第,B3 纪念性建筑与名人故居类,4,3,112.93488,23.047074,丹灶镇,poi_contain,B0HRV7T4XT
宝莲寺,B2 宗教建筑类,4,4,112.963174,22.911141,西樵镇,poi_exact,B02F507708
佛山涌,D1 山川水系空间,4,3,113.13775,23.026981,桂城街道,poi_exact,B0FFKGOVJF
王借岗,D1 山川水系空间,4,4,113.03342,23.036455,丹灶镇,poi_contain,B0FFHVWJKI
林岳,D2 镇街圩市空间,4,3,113.225444,22.998698,桂城街道,poi_contain,B0FFIDUXHC
西南涌,D1 山川水系空间,4,2,112.96999,23.21289,狮山镇,poi_contain,B0FFFAQ1PE
牌坊,B1 古建筑类,4,3,113.158145,23.143885,里水镇,poi_contain,B0HRAAKNVS
西樵大桥,B1 古建筑类,4,4,112.994613,22.940893,西樵镇,poi_exact,B0FFLGYJDJ
方献夫墓,B4 古遗址与生产遗存类,4,2,112.915719,23.027375,nan,anchor_exact,ANC_0058
黄少强故居,B3 纪念性建筑与名人故居类,4,1,113.090524,23.219449,大沥镇,poi_exact,B0FFKBOBLV
珠江纵队独立第三大队队部旧址,B3 纪念性建筑与名人故居类,4,1,112.983092,23.214013,狮山镇,poi_contain,B0HG2UZI6I
中共南海县委旧址,B3 纪念性建筑与名人故居类,4,2,113.100939,23.134657,狮山镇,poi_exact,B02F50WG6V
颜氏大宗祠,B1 古建筑类,4,2,113.14678,23.093506,里水镇,poi_exact,B0FFH42ZUX
民乐市,B4 古遗址与生产遗存类,4,3,112.953955,22.959112,,anchor_exact,ANC_0157
岭西村,B6 古村落与聚落遗产类,4,1,112.945098,22.929248,西樵镇,poi_contain,B0H2HRJDON
山根,D2 镇街圩市空间,4,3,112.992948,22.933831,丹灶镇,poi_contain,B0HKY7XU3Y
百东,B6 古村落与聚落遗产类,4,2,112.92533,22.967241,丹灶镇,poi_contain,B0IDGUU8OF
崇北,D2 镇街圩市空间,4,1,112.944852,23.018023,西樵镇,poi_contain,B0H1FHFCAH
新田,D2 镇街圩市空间,4,1,112.927313,22.885486,西樵镇,poi_contain,B0FFJQX278
百步梯,B1 古建筑类,4,2,112.987224,22.941629,西樵镇,poi_exact,
沙涌村,B6 古村落与聚落遗产类,4,1,112.959613,22.947063,西樵镇,poi_contain,B0IB3S8BNI
新地村,B6 古村落与聚落遗产类,4,1,112.965262,23.058624,狮山镇,poi_contain,B0LBLLN1RG
杏头村,B6 古村落与聚落遗产类,4,2,112.968715,22.945305,西樵镇,poi_contain,
河溪村,B6 古村落与聚落遗产类,4,1,112.893823,22.953859,西樵镇,poi_contain,B0LRHA7DZK
牌楼村,B6 古村落与聚落遗产类,4,2,112.981097,22.886898,西樵镇,poi_contain,B0FFH2SMRG
文澜书院,B1 古建筑类,4,2,113.10216,23.18814,大沥镇,poi_contain,B0FFIZSDND
丹桂园,D1 山川水系空间,4,3,112.973418,22.928939,西樵镇,poi_exact,B0FFGRN2RQ
简村北帝庙,B2 宗教建筑类,4,2,112.944171,23.030381,丹灶镇,poi_contain,B0FFME2KQ5
南海丹灶,D2 镇街圩市空间,4,4,112.915232,23.042368,丹灶镇,poi_contain,B0FFHYF3AU
碧玉洞,B4 古遗址与生产遗存类,4,2,112.979454,22.938499,西樵镇,poi_exact,B0FFF365DR
里水麻奢,D3 历史街区与传统片区,4,4,113.117962,23.22016,里水镇,poi_contain,B0FFG2876G
郁水,D1 山川水系空间,4,2,113.148667,23.19537,里水镇,poi_contain,B0FFF2LHMO
九龙岩,D1 山川水系空间,4,3,112.97281,22.920043,西樵镇,poi_exact,B0HDDK8M6O
南海观音寺,B2 宗教建筑类,4,3,113.108714,23.175651,大沥镇,poi_exact,B0FFG0YUHE
奇石村,B6 古村落与聚落遗产类,4,4,112.984842,23.061732,狮山镇,poi_contain,B0MBK5Q7UA
龙山,D1 山川水系空间,4,3,113.114213,23.282853,大沥镇,poi_contain,B0FFFEOV26
罗行圩,D2 镇街圩市空间,4,1,112.952101,23.029292,,anchor_exact,ANC_0153
凤山古庙,B2 宗教建筑类,4,2,113.082716,23.232721,狮山镇,poi_exact,B0L67S1IK4
白衣观音庙,B2 宗教建筑类,4,3,113.191867,23.026327,桂城街道,poi_contain,B0FFHRPUYH
黄岐龙母庙,B2 宗教建筑类,4,2,113.195236,23.11989,大沥镇,poi_exact,B0FFGYME07
观龙台,D4 传承场所与活动场地,4,2,113.018935,22.829958,丹灶镇,poi_contain,B0FFKPLU1L
西樵禄舟村,B6 古村落与聚落遗产类,4,2,112.940609,22.924439,西樵镇,poi_contain,B0HK1D9W7F
狮艺武术馆,D4 传承场所与活动场地,4,2,112.940088,22.926851,西樵镇,poi_contain,B0HR06KTGB
白沙小学,B3 纪念性建筑与名人故居类,4,3,113.204258,23.130828,大沥镇,poi_exact,B02F505YGU
风雨亭,B1 古建筑类,4,3,113.031837,23.048685,丹灶镇,poi_contain,B0FFL6MZPG
陈氏大宗祠,B1 古建筑类,4,1,113.196227,23.190165,里水镇,poi_exact,B0FFH3XXY4
雄星村,B6 古村落与聚落遗产类,4,1,113.014632,23.045182,丹灶镇,poi_contain,B0FFGFUXBN
南海市,D2 镇街圩市空间,4,3,113.072143,23.130649,大沥镇,poi_contain,B0FFM3V93I
吉水窦,B4 古遗址与生产遗存类,4,2,112.96847,22.942825,nan,anchor_exact,ANC_0046
儒林书院,B1 古建筑类,4,2,113.10216,23.18814,大沥镇,poi_contain,B0FFIZSDND
南海馆,B3 纪念性建筑与名人故居类,4,3,113.188317,23.116418,大沥镇,poi_contain,B0FFL4CJE2
西安,D2 镇街圩市空间,4,2,113.183544,23.111131,里水镇,poi_contain,B0H06DFV98
邯郸别邸,B1 古建筑类,4,2,112.960483,22.93567,西樵镇,poi_exact,B0FFG25MJH
西关,D3 历史街区与传统片区,4,1,113.235896,23.032702,桂城街道,poi_contain,B0FFGLPX2W
南海黄飞鸿狮艺武术馆,D4 传承场所与活动场地,4,1,112.945135,22.923938,西樵镇,poi_contain,B02F501SVF
青龙桥,B4 古遗址与生产遗存类,3,2,113.11965,23.067022,大沥镇,poi_exact,B0FFGQ6YRI
万安桥,B1 古建筑类,3,3,113.017712,22.919406,丹灶镇,poi_contain,BV10251646
名宦祠,B1 古建筑类,3,2,113.129477,23.101116,里水镇,poi_contain,B0FFFCQEPL
三圣庙,B2 宗教建筑类,3,1,112.944168,22.960363,丹灶镇,poi_contain,B0FFI09GWE
佛子庙,B2 宗教建筑类,3,3,112.966485,22.940454,西樵镇,poi_exact,B02F50V1HK
高桥,B1 古建筑类,3,2,113.170944,23.046977,桂城街道,poi_exact,B02F50XMGB
烟桥,B6 古村落与聚落遗产类,3,2,112.955287,22.872286,西樵镇,poi_contain,B0FFGQ9BPO
汇龙桥,B1 古建筑类,3,2,113.005575,22.837464,丹灶镇,poi_exact,B0FFGQ4R4R
五眼桥,B1 古建筑类,3,2,113.202208,23.102937,里水镇,poi_contain,B0FFGQABO6
彩虹桥,B1 古建筑类,3,2,113.156667,23.034414,桂城街道,poi_exact,B0FFFOTG30
龙津堡,D2 镇街圩市空间,3,1,113.129834,23.103087,里水镇,poi_contain,B0FFGBESH8
震亨书院,B1 古建筑类,3,2,113.10216,23.18814,大沥镇,poi_contain,B0FFIZSDND
虎门,D1 山川水系空间,3,3,113.237383,23.036828,桂城街道,poi_contain,B0FFKBRQHQ
