record_id,source_file,source_type,resource_class,sub_class,level,name,era,address,town,target_geometry,lng,lat,spatial_method,spatial_confidence,matched_existing_anchor,matched_poi,dedup_status,dedup_match,centroid_town
IH_0157,不可移动文物Excel.xls,不可移动文物,古建筑,池塘井泉,尚未核定公布为文物保护单位的不可移动文物,田心水井,"明代,清代",广东省佛山市南海区西樵镇新田村委会田心村大街高门楼3号侧,西樵镇,point,112.935322,22.941121,town_representative_point,0.38,,,new_candidate,,西樵镇
IH_0158,不可移动文物Excel.xls,不可移动文物,古建筑,坛庙祠堂,尚未核定公布为文物保护单位的不可移动文物,云庄陈公祠,清代,广东省佛山市南海区大沥镇白沙社区居委会陈溪村东街,大沥镇,point,113.19573,23.138543,poi_name_exact,0.94,,云庄陈公祠,matched_poi_only,云庄陈公祠,大沥镇
IH_0159,不可移动文物Excel.xls,不可移动文物,古建筑,坛庙祠堂,市级和县级文物保护单位,杜氏大宗祠,清代,广东省佛山市南海区大沥镇白沙村委会白沙村中心路涌边1巷12号侧,大沥镇,point,113.202257,23.133661,poi_name_exact,0.94,,杜氏大宗祠,matched_poi_only,杜氏大宗祠,大沥镇
IH_0160,不可移动文物Excel.xls,不可移动文物,古建筑,桥涵码头,市级和县级文物保护单位,三眼桥,明代,广东省佛山市南海区大沥镇河东社区居委会穗盐路,大沥镇,point,113.180671,23.099504,poi_name_exact,0.94,,三眼桥,matched_poi_only,三眼桥,大沥镇
IH_0161,不可移动文物Excel.xls,不可移动文物,古建筑,坛庙祠堂,尚未核定公布为文物保护单位的不可移动文物,六联冯氏宗祠,清代,广东省佛山市南海区大沥镇六联社区居委会南村村西区大街7号,大沥镇,point,113.172623,23.193748,poi_name_fuzzy,0.84,,冯氏宗祠,new_candidate,,里水镇
IH_0162,不可移动文物Excel.xls,不可移动文物,古建筑,坛庙祠堂,尚未核定公布为文物保护单位的不可移动文物,江心黎氏大宗祠,明代,广东省佛山市南海区大沥镇横江社区居委会江心村黎家祠街10号,大沥镇,point,113.046636,22.903789,poi_name_fuzzy,0.84,,黎氏大宗祠,new_candidate,,九江镇
IH_0163,不可移动文物Excel.xls,不可移动文物,古建筑,坛庙祠堂,尚未核定公布为文物保护单位的不可移动文物,六联天南圣裔,清代,广东省佛山市南海区大沥镇六联社区居委会南村村西区大街9号,大沥镇,point,113.175729,23.111513,poi_name_fuzzy,0.84,,天南圣裔,new_candidate,,大沥镇
IH_0164,不可移动文物Excel.xls,不可移动文物,古建筑,坛庙祠堂,尚未核定公布为文物保护单位的不可移动文物,华夏冯氏世庙,清代,广东省佛山市南海区西樵镇华夏村五甲村民小组显阳大街1号,西樵镇,point,112.935322,22.941121,town_representative_point,0.38,,,new_candidate,,西樵镇
IH_0165,不可移动文物Excel.xls,不可移动文物,古建筑,坛庙祠堂,尚未核定公布为文物保护单位的不可移动文物,横南潮湾公祠,清代,广东省佛山市南海区狮山镇横岗社区居委会横南村弘农街3号,狮山镇,point,113.065557,23.098537,poi_name_fuzzy,0.84,,潮湾公祠,new_candidate,,狮山镇
IH_0166,不可移动文物Excel.xls,不可移动文物,古建筑,池塘井泉,尚未核定公布为文物保护单位的不可移动文物,力生水井,明代,广东省佛山市南海区狮山镇谭边社区居委会力生村力生街二巷1号侧,狮山镇,point,113.030542,23.122685,address_token_centroid,0.72,,狮山 (876 points),new_candidate,,狮山镇
