ix,iy,clng,clat,town,official_count,immovable_count,museum_count,historical_area_count,historical_street_count
12,49,112.89425,23.02075,丹灶镇,0,0,0,0,0
12,50,112.89425,23.02525,丹灶镇,0,0,0,0,0
12,51,112.89425,23.02975,丹灶镇,0,0,0,0,0
12,52,112.89425,23.03425,丹灶镇,1,1,0,0,0
12,53,112.89425,23.03875,丹灶镇,0,0,0,0,0
12,54,112.89425,23.04325,丹灶镇,0,0,0,0,0
12,55,112.89425,23.04775,丹灶镇,3,0,0,3,0
12,56,112.89425,23.05225,丹灶镇,0,0,0,0,0
12,57,112.89425,23.05675,丹灶镇,0,0,0,0,0
12,58,112.89425,23.06125,丹灶镇,0,0,0,0,0
12,59,112.89425,23.06575,丹灶镇,0,0,0,0,0
12,60,112.89425,23.07025,丹灶镇,0,0,0,0,0
12,61,112.89425,23.07475,丹灶镇,0,0,0,0,0
12,62,112.89425,23.07925,丹灶镇,0,0,0,0,0
12,63,112.89425,23.08375,丹灶镇,0,0,0,0,0
12,64,112.89425,23.08825,丹灶镇,0,0,0,0,0
12,65,112.89425,23.09275,丹灶镇,0,0,0,0,0
12,66,112.89425,23.09725,丹灶镇,0,0,0,0,0
12,67,112.89425,23.10175,丹灶镇,0,0,0,0,0
12,68,112.89425,23.10625,丹灶镇,0,0,0,0,0
12,69,112.89425,23.11075,丹灶镇,0,0,0,0,0
12,70,112.89425,23.11525,丹灶镇,0,0,0,0,0
13,9,112.89875,22.84075,未标注,0,0,0,0,0
13,11,112.89875,22.84975,西樵镇,1,0,0,1,0
13,12,112.89875,22.85425,西樵镇,1,0,0,1,0
13,13,112.89875,22.85875,西樵镇,1,0,0,1,0
13,14,112.89875,22.86325,西樵镇,1,0,0,1,0
13,15,112.89875,22.86775,西樵镇,1,0,0,1,0
13,16,112.89875,22.87225,西樵镇,1,0,0,1,0
13,23,112.89875,22.90375,西樵镇,1,0,0,1,0
13,24,112.89875,22.90825,西樵镇,1,0,0,1,0
13,25,112.89875,22.91275,西樵镇,1,0,0,1,0
13,26,112.89875,22.91725,西樵镇,1,0,0,1,0
13,27,112.89875,22.92175,西樵镇,1,0,0,1,0
13,28,112.89875,22.92625,西樵镇,1,0,0,1,0
13,29,112.89875,22.93075,西樵镇,1,0,0,1,0
13,30,112.89875,22.93525,西樵镇,1,0,0,1,0
13,31,112.89875,22.93975,西樵镇,1,0,0,1,0
13,32,112.89875,22.94425,西樵镇,1,0,0,1,0
13,33,112.89875,22.94875,西樵镇,1,0,0,1,0
13,34,112.89875,22.95325,西樵镇,1,0,0,1,0
13,35,112.89875,22.95775,西樵镇,1,0,0,1,0
13,36,112.89875,22.96225,西樵镇,1,0,0,1,0
13,44,112.89875,22.99825,未标注,0,0,0,0,0
13,45,112.89875,23.00275,丹灶镇,0,0,0,0,0
13,46,112.89875,23.00725,丹灶镇,0,0,0,0,0
13,47,112.89875,23.01175,丹灶镇,0,0,0,0,0
13,48,112.89875,23.01625,丹灶镇,0,0,0,0,0
13,49,112.89875,23.02075,丹灶镇,0,0,0,0,0
13,50,112.89875,23.02525,丹灶镇,0,0,0,0,0
13,51,112.89875,23.02975,丹灶镇,0,0,0,0,0
13,52,112.89875,23.03425,丹灶镇,1,1,0,0,0
13,53,112.89875,23.03875,丹灶镇,0,0,0,0,0
13,54,112.89875,23.04325,丹灶镇,0,0,0,0,0
13,55,112.89875,23.04775,丹灶镇,0,0,0,0,0
13,56,112.89875,23.05225,丹灶镇,0,0,0,0,0
13,57,112.89875,23.05675,丹灶镇,0,0,0,0,0
13,58,112.89875,23.06125,丹灶镇,0,0,0,0,0
13,59,112.89875,23.06575,丹灶镇,0,0,0,0,0
13,60,112.89875,23.07025,丹灶镇,0,0,0,0,0
13,61,112.89875,23.07475,丹灶镇,0,0,0,0,0
13,62,112.89875,23.07925,丹灶镇,0,0,0,0,0
13,63,112.89875,23.08375,丹灶镇,0,0,0,0,0
13,64,112.89875,23.08825,丹灶镇,0,0,0,0,0
13,65,112.89875,23.09275,丹灶镇,0,0,0,0,0
13,66,112.89875,23.09725,丹灶镇,0,0,0,0,0
13,67,112.89875,23.10175,丹灶镇,0,0,0,0,0
13,68,112.89875,23.10625,丹灶镇,0,0,0,0,0
13,69,112.89875,23.11075,丹灶镇,0,0,0,0,0
13,73,112.89875,23.12875,丹灶镇,0,0,0,0,0
13,74,112.89875,23.13325,丹灶镇,0,0,0,0,0
13,75,112.89875,23.13775,丹灶镇,0,0,0,0,0
13,76,112.89875,23.14225,狮山镇,0,0,0,0,0
14,11,112.90325,22.84975,未标注,0,0,0,0,0
14,12,112.90325,22.85425,未标注,0,0,0,0,0
14,13,112.90325,22.85875,西樵镇,1,0,0,1,0
14,14,112.90325,22.86325,西樵镇,1,0,0,1,0
14,15,112.90325,22.86775,西樵镇,1,0,0,1,0
14,16,112.90325,22.87225,未标注,0,0,0,0,0
14,22,112.90325,22.89925,西樵镇,1,0,0,1,0
14,23,112.90325,22.90375,西樵镇,1,0,0,1,0
14,24,112.90325,22.90825,西樵镇,1,0,0,1,0
14,25,112.90325,22.91275,西樵镇,1,0,0,1,0
14,26,112.90325,22.91725,西樵镇,1,0,0,1,0
14,27,112.90325,22.92175,西樵镇,1,0,0,1,0
14,28,112.90325,22.92625,西樵镇,1,0,0,1,0
14,29,112.90325,22.93075,西樵镇,1,0,0,1,0
14,30,112.90325,22.93525,西樵镇,1,0,0,1,0
14,31,112.90325,22.93975,西樵镇,1,0,0,1,0
14,32,112.90325,22.94425,西樵镇,1,0,0,1,0
14,33,112.90325,22.94875,西樵镇,1,0,0,1,0
14,34,112.90325,22.95325,西樵镇,1,0,0,1,0
14,35,112.90325,22.95775,西樵镇,1,0,0,1,0
14,36,112.90325,22.96225,西樵镇,1,0,0,1,0
14,37,112.90325,22.96675,西樵镇,1,0,0,1,0
14,38,112.90325,22.97125,西樵镇,1,0,0,1,0
14,44,112.90325,22.99825,西樵镇,1,0,0,1,0
14,45,112.90325,23.00275,丹灶镇,0,0,0,0,0
14,46,112.90325,23.00725,丹灶镇,0,0,0,0,0
14,47,112.90325,23.01175,丹灶镇,0,0,0,0,0
14,48,112.90325,23.01625,丹灶镇,0,0,0,0,0
14,49,112.90325,23.02075,丹灶镇,2,1,0,1,0
14,50,112.90325,23.02525,丹灶镇,0,0,0,0,0
14,51,112.90325,23.02975,丹灶镇,0,0,0,0,0
14,52,112.90325,23.03425,丹灶镇,0,0,0,0,0
14,53,112.90325,23.03875,丹灶镇,0,0,0,0,0
14,54,112.90325,23.04325,丹灶镇,0,0,0,0,0
14,55,112.90325,23.04775,丹灶镇,0,0,0,0,0
14,56,112.90325,23.05225,丹灶镇,0,0,0,0,0
14,57,112.90325,23.05675,丹灶镇,0,0,0,0,0
14,58,112.90325,23.06125,丹灶镇,0,0,0,0,0
14,59,112.90325,23.06575,丹灶镇,0,0,0,0,0
14,60,112.90325,23.07025,丹灶镇,0,0,0,0,0
14,61,112.90325,23.07475,丹灶镇,0,0,0,0,0
14,62,112.90325,23.07925,丹灶镇,0,0,0,0,0
14,63,112.90325,23.08375,丹灶镇,0,0,0,0,0
14,64,112.90325,23.08825,丹灶镇,0,0,0,0,0
14,65,112.90325,23.09275,丹灶镇,0,0,0,0,0
14,66,112.90325,23.09725,丹灶镇,0,0,0,0,0
14,67,112.90325,23.10175,丹灶镇,0,0,0,0,0
14,68,112.90325,23.10625,丹灶镇,0,0,0,0,0
14,69,112.90325,23.11075,丹灶镇,0,0,0,0,0
14,72,112.90325,23.12425,丹灶镇,0,0,0,0,0
14,73,112.90325,23.12875,丹灶镇,2,1,0,0,0
14,74,112.90325,23.13325,丹灶镇,3,1,0,0,0
14,75,112.90325,23.13775,丹灶镇,0,0,0,0,0
14,76,112.90325,23.14225,狮山镇,0,0,0,0,0
14,77,112.90325,23.14675,未标注,0,0,0,0,0
15,12,112.90775,22.85425,未标注,0,0,0,0,0
15,13,112.90775,22.85875,西樵镇,1,0,0,1,0
15,14,112.90775,22.86325,未标注,0,0,0,0,0
15,15,112.90775,22.86775,未标注,0,0,0,0,0
15,21,112.90775,22.89475,西樵镇,1,0,0,1,0
15,22,112.90775,22.89925,西樵镇,1,0,0,1,0
15,23,112.90775,22.90375,西樵镇,1,0,0,1,0
15,24,112.90775,22.90825,西樵镇,1,0,0,1,0
15,25,112.90775,22.91275,西樵镇,1,0,0,1,0
15,26,112.90775,22.91725,西樵镇,1,0,0,1,0
15,27,112.90775,22.92175,西樵镇,1,0,0,1,0
15,28,112.90775,22.92625,西樵镇,1,0,0,1,0
